Id,Predicted
0, 0.51
1, 0.07
2, 0.82
3, 0.51
4, 0.89
5, 0.42
6, 0.50
7, 0.53
8, 0.50
9, 0.52
10, 0.52
11, 0.52
12, 0.59
13, 0.53
14, 0.86
15, 0.84
16, 0.83
17, 0.84
18, 0.83
19, 0.12
20, 0.55
21, 0.93
22, 0.50
23, 0.57
24, 0.46
25, 0.85
26, 0.83
27, 0.50
28, 0.84
29, 0.53
30, 0.54
31, 0.47
32, 0.52
33, 0.46
34, 0.16
35, 0.49
36, 0.48
37, 0.51
38, 0.20
39, 0.86
40, 0.50
41, 0.50
42, 0.82
43, 0.52
44, 0.84
45, 0.49
46, 0.85
47, 0.55
48, 0.54
49, 0.84
50, 0.14
51, 0.41
52, 0.43
53, 0.15
54, 0.49
55, 0.50
56, 0.50
57, 0.86
58, 0.50
59, 0.51
60, 0.83
61, 0.50
62, 0.42
63, 0.86
64, 0.85
65, 0.46
66, 0.87
67, 0.83
68, 0.39
69, 0.82
70, 0.84
71, 0.82
72, 0.88
73, 0.52
74, 0.51
75, 0.82
76, 0.85
77, 0.88
78, 0.80
79, 0.09
80, 0.85
81, 0.52
82, 0.49
83, 0.84
84, 0.48
85, 0.85
86, 0.86
87, 0.48
88, 0.47
89, 0.83
90, 0.82
91, 0.85
92, 0.82
93, 0.82
94, 0.83
95, 0.85
96, 0.47
97, 0.85
98, 0.83
99, 0.50
100, 0.85
101, 0.54
102, 0.43
103, 0.85
104, 0.85
105, 0.58
106, 0.17
107, 0.49
108, 0.50
109, 0.88
110, 0.43
111, 0.84
112, 0.20
113, 0.85
114, 0.49
115, 0.49
116, 0.85
117, 0.85
118, 0.50
119, 0.21
120, 0.09
121, 0.83
122, 0.50
123, 0.51
124, 0.52
125, 0.46
126, 0.85
127, 0.84
128, 0.85
129, 0.49
130, 0.39
131, 0.84
132, 0.43
133, 0.81
134, 0.52
135, 0.86
136, 0.41
137, 0.07
138, 0.51
139, 0.54
140, 0.49
141, 0.81
142, 0.83
143, 0.85
144, 0.86
145, 0.52
146, 0.50
147, 0.80
148, 0.78
149, 0.14
150, 0.17
151, 0.86
152, 0.39
153, 0.41
154, 0.82
155, 0.85
156, 0.78
157, 0.84
158, 0.86
159, 0.52
160, 0.50
161, 0.53
162, 0.93
163, 0.43
164, 0.51
165, 0.54
166, 0.07
167, 0.86
168, 0.89
169, 0.50
170, 0.46
171, 0.82
