Id,Predicted
0, 0.32
1, 0.43
2, 0.45
3, 0.59
4, 0.54
5, 0.48
6, 0.42
7, 0.12
8, 0.51
9, 0.31
10, 0.41
11, 0.76
12, 0.55
13, 0.75
14, 0.63
15, 0.41
16, 0.38
17, 0.27
18, 0.47
19, 0.39
20, 0.14
21, 0.39
22, 0.58
23, 0.74
24, 0.57
25, 0.59
26, 0.41
27, 0.43
28, 0.80
29, 0.62
30, 0.79
31, 0.39
32, 0.68
33, 0.49
34, 0.41
35, 0.74
36, 0.23
37, 0.68
38, 0.70
39, 0.75
40, 0.69
41, 0.59
42, 0.18
43, 0.68
44, 0.64
45, 0.23
46, 0.53
47, 0.65
48, 0.38
49, 0.67
50, 0.65
51, 0.74
52, 0.30
53, 0.22
54, 0.11
55, 0.28
56, 0.57
57, 0.32
58, 0.68
59, 0.39
60, 0.23
61, 0.57
62, 0.93
63, 0.31
64, 0.54
65, 0.19
66, 0.43
67, 0.65
68, 0.65
69, 0.43
70, 0.46
71, 0.30
72, 0.60
73, 0.58
74, 0.64
75, 0.45
76, 0.06
77, 0.14
78, 0.35
79, 0.38
80, 0.38
81, 0.19
82, 0.40
83, 0.63
84, 0.36
85, 0.45
86, 0.17
87, 0.49
88, 0.86
89, 0.33
90, 0.35
91, 0.31
92, 0.62
93, 0.72
94, 0.39
95, 0.69
96, 0.48
97, 0.32
98, 0.54
99, 0.69
100, 0.16
101, 0.46
102, 0.64
103, 0.34
104, 0.06
105, 0.43
106, 0.40
107, 0.84
108, 0.06
109, 0.67
110, 0.66
111, 0.53
112, 0.10
113, 0.62
114, 0.63
115, 0.60
116, 0.41
117, 0.37
118, 0.62
119, 0.39
120, 0.43
121, 0.66
122, 0.40
123, 0.33
124, 0.18
125, 0.42
126, 0.67
127, 0.36
128, 0.03
129, 0.57
130, 0.71
131, 0.36
132, 0.67
133, 0.24
134, 0.65
135, 0.22
136, 0.31
137, 0.39
138, 0.55
139, 0.67
140, 0.65
141, 0.69
142, 0.82
143, 0.34
144, 0.32
145, 0.49
146, 0.64
147, 0.63
148, 0.31
149, 0.38
150, 0.35
151, 0.18
152, 0.11
153, 0.38
154, 0.45
155, 0.09
156, 0.33
157, 0.46
158, 0.20
159, 0.61
160, 0.45
161, 0.62
162, 0.20
163, 0.30
164, 0.68
165, 0.40
166, 0.38
167, 0.48
168, 0.20
169, 0.67
170, 0.57
171, 0.45
172, 0.00
173, 0.19
174, 0.17
175, 0.40
176, 0.42
177, 0.55
178, 0.06
179, 0.47
180, 0.69
181, 0.69
182, 0.52
183, 0.87
184, 0.42
185, 0.93
186, 0.38
187, 1.27
188, 0.50
189, 0.65
190, 0.40
191, 0.46
192, 0.35
193, 0.30
194, 0.49
195, 0.63
196, 0.72
197, 0.54
198, 0.64
199, 0.38
200, 0.45
201, 0.41
202, 0.67
203, 0.46
204, 0.42
205, 0.53
206, 0.39
207, 0.42
208, 0.75
209, 0.44
210, 0.06
211, 0.33
212, 0.59
213, 0.71
214, 0.70
215, 0.16
216, 0.33
217, 0.50
218, -0.04
219, 0.52
220, 0.71
221, 0.37
222, 0.34
223, 0.63
224, 0.78
225, 0.09
226, 0.55
227, 0.79
228, 0.35
229, 0.28
230, 0.43
231, 0.60
232, 0.67
233, 0.79
234, 0.25
235, 0.46
236, 0.07
237, 0.63
238, 0.68
239, 0.63
240, 0.61
241, 0.23
242, 0.38
243, 0.38
244, 0.35
245, 0.70
246, 0.58
247, 0.69
248, 0.40
249, 0.86
250, 0.60
251, 0.81
252, 0.32
253, 0.11
254, 0.16
255, 0.40
256, 0.17
257, 0.73
258, 0.33
259, 0.74
260, 0.38
261, 0.43
262, 0.64
263, 0.50
264, 0.41
265, 0.44
266, 0.23
267, 0.45
268, 0.73
269, 0.57
270, 0.17
271, 0.61
272, 0.33
273, 0.70
274, 0.65
275, 0.44
276, 0.62
277, 0.41
278, 0.12
279, 0.39
280, 0.25
281, 0.39
282, 0.19
283, 0.38
284, 0.46
285, 0.40
286, 0.44
287, 0.75
288, 0.37
289, 0.08
290, 0.17
291, 0.16
292, 0.61
293, 0.43
294, 0.14
295, 0.91
296, 0.61
297, 0.75
298, 0.22
299, 0.67
300, 0.20
301, 0.13
302, 0.42
303, 0.51
304, 0.82
305, 0.48
306, 0.86
307, 0.35
308, 0.70
309, 0.18
310, 0.77
311, 0.19
312, 0.94
313, 0.70
314, 0.45
315, 0.49
316, 0.50
317, 0.67
318, 0.12
319, 0.44
320, 0.65
321, 0.34
322, 0.80
323, 0.39
324, 0.16
325, 0.16
326, -0.04
327, 0.63
328, 0.61
329, 0.68
330, 0.55
331, 0.37
332, 0.08
333, 0.45
334, 0.44
335, 0.59
336, 0.45
337, 0.31
338, 0.39
339, 0.74
340, 0.67
341, 0.29
342, 0.43
343, 0.31
344, 0.28
345, 0.54
346, 0.42
347, 0.65
348, 0.63
349, 0.40
350, 0.18
351, 0.16
352, 0.82
353, 0.38
354, 0.33
355, 0.26
356, 0.37
357, 0.07
358, 0.53
359, 0.43
360, 0.35
361, 0.30
362, 0.62
363, 0.38
364, 0.32
365, 0.65
366, 0.45
367, 0.57
368, 0.41
369, 0.38
370, 0.47
371, 0.78
372, 0.80
373, 0.37
374, 0.19
375, 0.48
376, 0.37
377, 0.36
378, 0.61
379, 0.76
380, 0.18
381, 0.64
382, 0.65
383, 0.43
384, 0.67
385, 0.65
386, 0.38
387, 0.64
388, 0.30
389, 0.26
390, 0.66
391, 0.66
392, 0.17
393, 0.55
394, 0.77
395, 0.55
396, 0.43
397, 0.43
398, 0.48
399, 0.68
400, 0.19
401, 0.51
402, 0.45
403, 0.68
404, 0.39
405, 0.44
406, 0.39
407, 0.75
408, 0.40
409, 0.54
410, 0.41
411, 0.40
412, 0.68
413, 0.28
414, 0.39
415, 0.63
416, 0.19
417, 0.20
418, 0.54
419, 0.54
420, 0.19
421, 0.41
422, 0.44
423, 0.47
424, 0.35
425, 0.46
426, 0.64
427, 0.38
428, 0.38
429, 0.39
430, 0.45
431, 0.49
432, 0.14
433, 0.35
434, 0.18
435, 0.46
436, 0.31
437, 0.67
438, 0.46
439, 0.37
440, 0.70
441, 0.33
442, 0.36
443, 0.73
444, 0.43
445, 0.43
446, 0.41
447, 0.43
448, 0.32
449, 0.52
450, 0.41
451, 0.61
452, 0.14
453, 0.27
454, 0.10
455, 0.48
456, 0.43
457, 0.47
458, 0.18
459, 0.31
460, 0.37
461, 0.68
462, 0.18
463, 0.40
464, 0.32
465, 0.52
466, 0.54
467, 0.40
468, 0.31
469, 0.47
470, 0.59
471, 0.52
472, 0.73
